trip_id,policy_id,carrier_id,vehicle_id,driver_id,month_id,route_corridor_id,origin_region,destination_region,distance_miles,duration_hours,night_share,avg_speed_mph,hard_brake_rate,overspeed_share,hos_pressure_index,cargo_type,payload_tons,vehicle_age_years,maintenance_risk_score,adas_flag,deductible_usd,coverage_limit_usd,coverage_breadth,premium_month_usd,premium_month_usd_alloc,weather_regime,weather_intensity_z,exposure_hours_in_event,road_flood_risk,heat_stress_index,snow_ice_index,claim_occurred,claim_count,incurred_loss_usd,paid_loss_usd,case_reserve_usd,loss_ratio_trip_equiv,trip_cancelled_flag,scenario_id,night_share_missing_flag,avg_speed_mph_missing_flag,hard_brake_rate_missing_flag,overspeed_share_missing_flag,maintenance_risk_score_missing_flag,payload_tons_missing_flag,sensor_implausible_flag,winsor_candidate_flag,cat_tail_flag,safety_culture_score,maintenance_risk_score_imputed,payload_tons_imputed,hard_brake_rate_imputed,overspeed_share_imputed,night_share_imputed
TRP0000011,POL00011,CAR0011,VEH000071,DRV000114,2024-11,C04,Southwest,Midwest,958.29,18.1,,,,,0.508,dry_van,14.57,3.6,0.499,0,10000,1000000,liability_only,767.4,212.98,normal,-0.345,0.17,0.132,0.419,0.039,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,1,1,1,1,0,0,0,0,0,0.632,0.499,14.57,0.09913902944710219,0.1202605712788925,0.38557373535588335
TRP0000012,POL00012,CAR0012,VEH000076,DRV000128,2024-12,C05,South,Midwest,868.82,15.35,0.237,74.73,0.082,0.097,0.54,flatbed,18.67,10.4,0.311,1,5000,250000,broad_form,867.32,210.25,normal,-0.101,1.95,0.332,0.374,0.094,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.353,0.311,18.67,0.082,0.097,0.237
TRP0000013,POL00013,CAR0013,VEH000088,DRV000143,2024-01,C03,Mountain,Midwest,1179.63,15.52,0.227,57.64,0.054,0.072,0.515,flatbed,17.79,3.6,0.688,1,5000,1000000,physical_damage,1348.6,293.73,snowstorm,0.78,5.16,0.262,0.307,0.97,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.509,0.688,17.79,0.054,0.072,0.227
TRP0000014,POL00014,CAR0014,VEH000093,DRV000147,2024-02,C03,Mountain,Midwest,891.13,14.54,0.322,55.93,0.066,0.12,0.434,flatbed,10.62,4.2,0.323,1,5000,250000,physical_damage,957.82,228.35,normal,0.056,5.93,0.204,0.263,0.223,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.656,0.323,10.62,0.066,0.12,0.322
TRP0000015,POL00015,CAR0015,VEH000098,DRV000164,2024-03,C10,Northeast,Midwest,709.09,9.8,0.18,56.77,0.023,0.132,0.462,mixed,6.3,7.6,0.609,1,5000,250000,liability_only,804.15,192.52,normal,0.275,6.38,0.222,0.196,0.256,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.382,0.609,6.3,0.023,0.132,0.18
TRP0000016,POL00016,CAR0016,VEH000104,DRV000169,2024-04,C08,Midwest,South,868.05,14.21,0.286,60.33,0.082,0.064,0.331,hazmat,21.13,5.1,0.212,1,1000,500000,broad_form,923.7,201.82,normal,-0.09,2.96,0.233,0.295,0.115,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.666,0.212,21.13,0.082,0.064,0.286
TRP0000017,POL00017,CAR0017,VEH000112,DRV000176,2024-05,C06,South,Northeast,1271.71,17.81,0.334,54.31,0.082,0.042,0.496,dry_van,16.84,5.5,0.098,1,2500,250000,broad_form,1514.18,327.78,normal,0.195,7.66,0.316,0.352,0.152,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.239,0.098,16.84,0.082,0.042,0.334
TRP0000018,POL00018,CAR0018,VEH000119,DRV000191,2024-06,C10,Northeast,Midwest,603.71,15.07,0.295,68.46,0.156,0.156,0.252,refrigerated,21.15,7.0,0.764,1,5000,1000000,broad_form,650.59,166.78,normal,0.052,1.98,0.204,0.183,0.243,1,1,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.492,0.764,21.15,0.156,0.156,0.295
TRP0000019,POL00019,CAR0019,VEH000130,DRV000199,2024-07,C07,Midwest,Northeast,811.15,19.99,0.354,59.91,0.121,0.082,0.332,refrigerated,12.28,4.8,0.825,1,2500,1000000,physical_damage,876.38,220.43,heat_wave,0.698,6.93,0.276,0.84,0.262,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.156,0.825,12.28,0.121,0.082,0.354
TRP0000020,POL00020,CAR0020,VEH000135,DRV000212,2024-08,C03,Mountain,Midwest,932.37,15.18,0.38,56.53,0.146,0.048,0.363,refrigerated,34.04,4.7,,0,5000,250000,broad_form,908.34,214.21,heavy_rain,0.847,4.96,0.268,0.311,0.271,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,0.921,0.342,34.04,0.146,0.048,0.38
TRP0000021,POL00021,CAR0021,VEH000145,DRV000225,2024-09,C03,Mountain,Midwest,906.18,14.64,0.141,57.63,0.103,0.066,0.31,hazmat,16.53,7.0,0.474,1,2500,1000000,broad_form,809.77,209.1,cold_wave,1.681,6.73,0.334,0.361,0.321,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.333,0.474,16.53,0.103,0.066,0.141
TRP0000022,POL00022,CAR0022,VEH000148,DRV000233,2024-10,C07,Midwest,Northeast,663.94,15.04,0.292,59.5,0.106,0.077,0.228,dry_van,18.08,4.1,0.048,1,20000,250000,broad_form,658.53,173.29,normal,-0.206,0.0,0.203,0.228,0.208,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.45,0.048,18.08,0.106,0.077,0.292
TRP0000023,POL00023,CAR0023,VEH000163,DRV000246,2024-11,C07,Midwest,Northeast,741.39,8.67,,,,,0.215,hazmat,15.43,5.0,0.05,1,2500,250000,physical_damage,709.23,181.09,normal,0.147,7.91,0.232,0.249,0.229,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,1,1,1,1,0,0,0,0,0,-0.675,0.05,15.43,0.054265999107072624,0.07188201597504389,0.3162882772225267
TRP0000024,POL00024,CAR0024,VEH000164,DRV000249,2024-12,C10,Northeast,Midwest,795.39,13.78,0.187,65.37,0.093,0.09,0.341,hazmat,,9.3,0.554,0,2500,500000,physical_damage,901.9,210.58,normal,0.409,7.62,0.233,0.205,0.265,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,1,0,0,0,-0.759,0.554,8.494836057085706,0.093,0.09,0.187
TRP0000025,POL00025,CAR0025,VEH000172,DRV000257,2024-01,C08,Midwest,South,955.67,15.31,0.244,57.73,0.135,0.086,0.483,mixed,17.96,2.5,,0,2500,500000,physical_damage,1188.12,261.62,normal,0.059,3.27,0.245,0.304,0.124,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,-1.129,0.439,17.96,0.135,0.086,0.244
TRP0000026,POL00026,CAR0026,VEH000174,DRV000271,2024-02,C10,Northeast,Midwest,698.8,12.71,0.155,68.78,0.131,0.03,0.227,flatbed,19.65,1.9,0.918,0,2500,500000,physical_damage,668.74,158.28,heat_wave,1.322,9.36,0.306,0.78,0.319,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.077,0.918,19.65,0.131,0.03,0.155
TRP0000027,POL00027,CAR0027,VEH000178,DRV000282,2024-03,C04,Southwest,Midwest,855.43,21.89,0.224,57.41,0.072,0.119,0.273,mixed,14.83,8.8,0.294,1,2500,250000,liability_only,810.15,181.14,normal,-0.017,0.0,0.159,0.439,0.059,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.319,0.294,14.83,0.072,0.119,0.224
TRP0000028,POL00028,CAR0028,VEH000184,DRV000293,2024-04,C04,Southwest,Midwest,1012.75,16.34,0.282,63.16,0.111,0.07,0.332,hazmat,11.86,0.0,,0,5000,1000000,liability_only,1024.43,221.29,flood,1.408,6.69,1.01,0.524,0.144,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,-1.153,0.149,11.86,0.111,0.07,0.282
TRP0000029,POL00029,CAR0029,VEH000188,DRV000295,2024-05,C04,Southwest,Midwest,1018.57,19.69,0.462,45.48,0.073,0.134,0.28,refrigerated,14.79,2.7,0.389,1,1000,1000000,physical_damage,814.12,225.87,normal,-0.277,1.28,0.138,0.423,0.043,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.682,0.389,14.79,0.073,0.134,0.462
TRP0000030,POL00030,CAR0030,VEH000193,DRV000309,2024-06,C01,Pacific,Mountain,958.32,15.89,0.394,63.28,0.096,0.177,0.105,mixed,,6.6,0.193,1,10000,250000,physical_damage,1259.88,272.64,snowstorm,1.186,5.49,0.275,0.351,0.85,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,1,0,0,0,0.1,0.193,10.328026760251204,0.096,0.177,0.394
TRP0000031,POL00031,CAR0031,VEH000200,DRV000319,2024-07,C07,Midwest,Northeast,852.99,15.17,0.058,62.41,0.1,0.106,0.543,mixed,14.4,6.4,0.786,1,2500,250000,physical_damage,562.35,155.24,heat_wave,0.698,8.31,0.276,0.84,0.262,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.319,0.786,14.4,0.1,0.106,0.058
TRP0000032,POL00032,CAR0032,VEH000208,DRV000322,2024-08,C09,Northeast,South,1193.04,23.15,0.321,48.68,0.121,0.055,0.452,refrigerated,21.27,7.6,0.896,1,2500,250000,physical_damage,1088.93,279.47,flood,1.312,7.91,1.11,0.339,0.259,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.43,0.896,21.27,0.121,0.055,0.321
TRP0000033,POL00033,CAR0033,VEH000219,DRV000332,2024-09,C01,Pacific,Mountain,897.35,17.62,0.348,46.28,0.2,0.112,0.295,refrigerated,15.92,10.2,0.332,1,20000,250000,physical_damage,786.26,171.39,flood,1.743,3.99,1.03,0.385,0.205,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.386,0.332,15.92,0.2,0.112,0.348
TRP0000034,POL00034,CAR0034,VEH000224,DRV000345,2024-10,C09,Northeast,South,1165.16,19.18,0.312,61.87,0.128,0.147,0.207,flatbed,13.81,1.8,0.581,1,1000,500000,physical_damage,1306.31,309.93,heavy_rain,0.971,4.36,0.338,0.318,0.238,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.662,0.581,13.81,0.128,0.147,0.312
TRP0000035,POL00035,CAR0035,VEH000232,DRV000353,2024-11,C09,Northeast,South,1034.53,22.52,0.102,64.51,0.087,0.236,0.469,dry_van,21.82,7.8,,1,5000,500000,broad_form,1242.57,286.05,heavy_rain,1.154,8.45,0.352,0.329,0.249,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,-0.358,0.151,21.82,0.087,0.236,0.102
TRP0000036,POL00036,CAR0036,VEH000236,DRV000361,2024-12,C10,Northeast,Midwest,769.46,14.81,0.238,51.07,0.08,0.088,0.441,mixed,9.81,5.2,0.762,0,10000,250000,physical_damage,559.36,153.31,normal,0.409,6.75,0.233,0.205,0.265,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.466,0.762,9.81,0.08,0.088,0.238
TRP0000037,POL00037,CAR0001,VEH000002,DRV000007,2024-01,C03,Mountain,Midwest,912.98,14.27,0.156,58.38,0.159,0.108,0.449,dry_van,13.21,6.4,0.618,0,5000,250000,broad_form,621.51,172.32,snowstorm,0.78,5.89,0.262,0.307,0.97,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.807,0.618,13.21,0.159,0.108,0.156
TRP0000038,POL00038,CAR0002,VEH000018,DRV000020,2024-02,C09,Northeast,South,1050.09,21.98,0.384,64.22,0.076,0.086,0.303,dry_van,19.37,4.5,,0,1000,500000,broad_form,1142.98,298.75,normal,-0.441,7.37,0.225,0.234,0.154,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,0.471,0.508,19.37,0.076,0.086,0.384
TRP0000039,POL00039,CAR0003,VEH000021,DRV000024,2024-03,C08,Midwest,South,840.29,15.99,0.24,57.69,0.083,0.116,0.601,flatbed,23.26,9.5,0.427,1,10000,250000,physical_damage,659.33,172.26,snowstorm,0.727,0.78,0.298,0.344,0.87,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.759,0.427,23.26,0.083,0.116,0.24
TRP0000040,POL00040,CAR0004,VEH000025,DRV000034,2024-04,C10,Northeast,Midwest,555.29,11.32,0.387,61.9,0.078,0.064,0.436,flatbed,2.0,6.8,0.097,0,1000,250000,liability_only,606.56,154.37,normal,-0.5,5.66,0.16,0.15,0.21,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.074,0.097,2.0,0.078,0.064,0.387
TRP0000041,POL00041,CAR0005,VEH000030,DRV000049,2024-05,C02,Pacific,Southwest,1104.87,18.82,0.203,51.17,0.089,0.114,0.464,refrigerated,19.42,4.8,0.599,0,2500,500000,physical_damage,802.85,219.59,normal,-0.393,0.84,0.109,0.456,0.026,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.756,0.599,19.42,0.089,0.114,0.203
TRP0000042,POL00042,CAR0006,VEH000034,DRV000059,2024-06,C09,Northeast,South,1088.56,21.85,0.458,54.82,0.049,0.071,0.43,dry_van,16.63,2.8,0.439,0,1000,250000,physical_damage,927.89,253.63,normal,-0.5,5.25,0.22,0.23,0.15,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.039,0.439,16.63,0.049,0.071,0.458
TRP0000043,POL00043,CAR0007,VEH000047,DRV000073,2024-07,C06,South,Northeast,1298.72,20.57,0.118,60.91,0.073,0.204,0.465,refrigerated,14.63,6.5,0.593,1,2500,500000,broad_form,1620.18,345.46,normal,-0.065,0.63,0.295,0.336,0.136,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.196,0.593,14.63,0.073,0.204,0.118
TRP0000044,POL00044,CAR0008,VEH000050,DRV000083,2024-08,C01,Pacific,Mountain,989.79,21.29,0.416,63.54,0.069,0.142,0.42,dry_van,25.05,8.7,0.487,0,2500,500000,physical_damage,882.05,210.08,heat_wave,1.064,10.21,0.265,0.88,0.164,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.667,0.487,25.05,0.069,0.142,0.416
TRP0000045,POL00045,CAR0009,VEH000059,DRV000094,2024-09,C08,Midwest,South,997.47,17.87,,,,,0.323,mixed,9.43,7.3,0.65,0,2500,1000000,physical_damage,825.96,194.26,normal,-0.27,4.91,0.218,0.284,0.104,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,1,1,1,1,0,0,0,0,0,-0.73,0.65,9.43,0.15876167009879605,0.10375467487325654,0.33490307636875843
TRP0000046,POL00046,CAR0010,VEH000064,DRV000110,2024-10,C09,Northeast,South,1129.6,18.84,0.248,66.26,0.117,0.064,0.304,hazmat,22.93,7.6,0.371,1,10000,250000,broad_form,1210.43,277.6,heavy_rain,0.971,4.27,0.338,0.318,0.238,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.292,0.371,22.93,0.117,0.064,0.248
TRP0000047,POL00047,CAR0011,VEH000069,DRV000124,2024-11,C09,Northeast,South,1022.33,19.67,0.143,63.2,0.107,0.002,0.372,dry_van,17.02,6.8,0.384,0,2500,250000,broad_form,1246.93,274.24,heavy_rain,1.154,8.69,0.352,0.329,0.249,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.632,0.384,17.02,0.107,0.002,0.143
TRP0000048,POL00048,CAR0012,VEH000077,DRV000127,2024-12,C01,Pacific,Mountain,782.47,21.79,0.288,57.06,0.086,0.078,0.302,flatbed,22.14,5.0,0.577,1,5000,250000,broad_form,609.72,144.56,normal,-0.097,0.9,0.172,0.274,0.094,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.353,0.577,22.14,0.086,0.078,0.288
TRP0000049,POL00049,CAR0013,VEH000080,DRV000133,2024-01,C09,Northeast,South,1013.84,18.82,,,,,0.279,flatbed,7.15,7.1,0.73,1,5000,500000,physical_damage,1113.91,286.16,normal,-0.5,0.64,0.22,0.23,0.15,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,1,1,1,1,0,0,0,0,0,-0.509,0.73,7.15,0.0947324734044356,0.09267497037823402,0.3566538951018926
TRP0000050,POL00050,CAR0014,VEH000092,DRV000154,2024-02,C09,Northeast,South,1178.88,21.82,0.234,58.55,0.086,0.083,0.413,dry_van,10.04,5.6,0.277,1,2500,500000,physical_damage,1093.78,234.89,normal,-0.441,7.37,0.225,0.234,0.154,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.656,0.277,10.04,0.086,0.083,0.234
TRP0000051,POL00051,CAR0015,VEH000098,DRV000157,2024-03,C03,Mountain,Midwest,982.34,18.05,0.335,57.99,0.146,0.176,0.467,dry_van,11.32,7.6,0.609,1,1000,500000,physical_damage,765.17,197.45,normal,-0.5,1.72,0.16,0.23,0.19,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.382,0.609,11.32,0.146,0.176,0.335
TRP0000052,POL00052,CAR0016,VEH000107,DRV000170,2024-04,C03,Mountain,Midwest,974.35,14.48,0.314,74.03,0.076,0.073,0.447,hazmat,3.87,8.7,0.025,0,1000,500000,physical_damage,713.86,190.0,normal,-0.356,4.26,0.171,0.239,0.199,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.666,0.025,3.87,0.076,0.073,0.314
TRP0000053,POL00001,CAR0001,VEH000002,DRV000001,2024-05,C08,Midwest,South,972.76,16.19,0.317,71.2,0.135,0.175,0.419,dry_van,24.41,6.4,0.618,0,10000,1000000,physical_damage,793.71,177.77,heat_wave,0.796,4.13,0.304,0.9,0.168,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.807,0.618,24.41,0.135,0.175,0.317
TRP0000054,POL00002,CAR0002,VEH000013,DRV000015,2024-06,C08,Midwest,South,944.69,11.75,0.334,63.39,0.0,0.064,0.678,flatbed,6.71,7.5,0.543,1,10000,1000000,physical_damage,860.03,221.53,normal,-0.234,5.81,0.221,0.286,0.106,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.471,0.543,6.71,0.0,0.064,0.334
TRP0000055,POL00003,CAR0003,VEH000022,DRV000024,2024-07,C07,Midwest,Northeast,730.82,11.94,0.169,51.3,0.168,0.119,0.531,flatbed,17.82,5.5,0.536,1,2500,1000000,broad_form,670.36,156.76,heat_wave,0.698,7.05,0.276,0.84,0.262,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,0.759,0.536,17.82,0.168,0.119,0.169
TRP0000056,POL00004,CAR0004,VEH000026,DRV000038,2024-08,C09,Northeast,South,1120.09,22.18,0.203,64.72,0.136,0.091,0.237,mixed,13.35,11.0,0.546,0,5000,250000,physical_damage,1134.04,297.94,flood,1.312,8.06,1.11,0.339,0.259,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,1.074,0.546,13.35,0.136,0.091,0.203
TRP0000057,POL00005,CAR0005,VEH000031,DRV000051,2024-09,C10,Northeast,Midwest,938.08,9.38,0.446,62.9,0.056,0.16,0.162,dry_van,11.88,6.2,,0,2500,500000,broad_form,1155.18,266.41,heat_wave,0.971,7.0,0.278,0.78,0.298,1,1,9366.86,8382.26,984.6,35.1596,0,S0_baseline,0,0,0,0,1,0,0,0,0,-0.756,0.451,11.88,0.056,0.16,0.446
TRP0000058,POL00006,CAR0006,VEH000042,DRV000066,2024-10,C06,South,Northeast,995.53,23.58,0.14,56.25,0.11,0.051,0.114,dry_van,12.51,3.8,,1,2500,1000000,broad_form,986.55,225.99,normal,-0.15,5.86,0.288,0.331,0.131,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,-0.039,0.893,12.51,0.11,0.051,0.14
TRP0000059,POL00007,CAR0007,VEH000045,DRV000078,2024-11,C01,Pacific,Mountain,1013.32,16.12,0.229,65.7,0.148,0.0,0.345,dry_van,21.4,6.9,0.734,1,10000,500000,broad_form,863.16,193.29,normal,-0.473,1.91,0.142,0.252,0.072,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-1.196,0.734,21.4,0.148,0.0,0.229
TRP0000060,POL00008,CAR0008,VEH000049,DRV000092,2024-12,C07,Midwest,Northeast,522.79,14.29,0.209,64.22,0.047,0.146,0.406,dry_van,21.35,4.7,,1,2500,1000000,physical_damage,503.51,120.37,normal,0.255,2.94,0.24,0.255,0.235,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,1,0,0,0,0,0.667,0.412,21.35,0.047,0.146,0.209
TRP0000061,POL00009,CAR0009,VEH000058,DRV000098,2024-01,C03,Mountain,Midwest,911.99,21.51,0.102,54.18,0.138,0.1,0.421,refrigerated,7.01,8.3,0.44,0,10000,1000000,broad_form,816.81,201.32,snowstorm,0.78,5.17,0.262,0.307,0.97,0,0,0.0,0.0,0.0,0.0,0,S0_baseline,0,0,0,0,0,0,0,0,0,-0.73,0.44,7.01,0.138,0.1,0.102
TRP0000062,POL00010,CAR0010,VEH000064,DRV000113,2024-02,C08,Midwest,South,762.51,11.54,,,,,0.164,refrigerated,22.3,7.6,0.371,1,1000,250000,broad_form,741.73,188.15,cold_wave,0.894,3.95,0.311,0.354,0.174,1,1,3062.48,2909.74,152.74,16.2768,0,S0_baseline,1,1,1,1,0,0,0,0,0,-0.292,0.371,22.3,0.0675275526299147,0.15710111078696537,0.30607662201224006
